"artist_name","decade","artist_rank","danceability"
"Giuseppe Verdi",1950,1,0.36486250000000003
"Orchestra Del Teatro Alla Scala Di Milan",1950,2,0.3577
"Giuseppe Di Stefano",1950,3,0.35188888888888886
"Giuseppe Verdi",1960,1,0.328625
"Herbert von Karajan",1960,2,0.3009538461538461
"Franz Schubert",1960,3,0.2922222222222222
"Gioachino Rossini",1970,1,0.45266666666666666
"Claudio Abbado",1970,2,0.42989999999999995
"Gaetano Donizetti",1970,3,0.377
"Georg Philipp Telemann",1980,1,0.463
"Iona Brown",1980,2,0.378
"Capella Istropolitana",1980,3,0.37757142857142856
"Sujatha",1990,1,0.7253333333333334
"John K. Almeida",1990,2,0.5724285714285715
"Steve Reich",1990,3,0.5048333333333334
"RDB",2000,1,0.8306666666666667
"Three 6 Mafia",2000,2,0.8099999999999999
"Paul Wall",2000,3,0.7528571428571428
"Medikal",2010,1,0.8711666666666668
"Droplex",2010,2,0.8391666666666667
"Offset",2010,3,0.8308888888888889
"ZENE THE ZILLA",2020,1,0.8705000000000002
"Yomel El Meloso",2020,2,0.8640000000000001
"Jony Roy",2020,3,0.8416666666666667
