"artist_name","genre","avg","avg-2","avg-3","avg-4"
"#TocoParaVos","nz pop",0.59,0.62,0.863,-5.511
"#TocoParaVos",NULL,0.59,0.62,0.863,-5.511
"( Me Llamo ) Sebastián","mainland chinese pop",0.528,0.711,0.656,-7.341
"( Me Llamo ) Sebastián",NULL,0.528,0.711,0.656,-7.341
"*NSYNC","dance pop",0.928,0.614,0.879,-4.806
"*NSYNC","hip pop",0.579,0.695,0.726,-5.066
"*NSYNC",NULL,0.7535000000000001,0.6545,0.8025,-4.936
"[ K S R ]","j-poprock",0.885,0.363,0.305,-5.272
"[ K S R ]",NULL,0.885,0.363,0.305,-5.272
"[spunge]","christian pop",0.869,0.634,0.966,-6.182
"[spunge]",NULL,0.869,0.634,0.966,-6.182
"¿Téo?","popwave",0.484,0.599,0.371,-11.866
"¿Téo?",NULL,0.484,0.599,0.371,-11.866
"18 Karat","new wave pop",0.6706666666666666,0.6816666666666666,0.27813333333333334,-5.774666666666666
"18 Karat",NULL,0.6706666666666666,0.6816666666666666,0.27813333333333334,-5.774666666666666
"1LUM3","pop peruano",0.731,0.579,0.464,-7.546
"1LUM3",NULL,0.731,0.579,0.464,-7.546
"2 Brothers On The 4th Floor","pop urbaine",0.979,0.701,0.612,-4.861
"2 Brothers On The 4th Floor",NULL,0.979,0.701,0.612,-4.861
"2 Unlimited","pop urbaine",0.985,0.65,0.757,-14.404
"2 Unlimited",NULL,0.985,0.65,0.757,-14.404
"21 Savage","pop edm",0.554,0.673,0.0774,-7.071
"21 Savage","space age pop",0.455,0.883,0.248,-8.724
"21 Savage",NULL,0.5045000000000001,0.778,0.1627,-7.8975
"24hrs","japanese teen pop",0.6665,0.716,0.392,-4.396
"24hrs",NULL,0.6665,0.716,0.392,-4.396
"24K","socal pop punk",0.687,0.608,0.649,-8.843
"24K",NULL,0.687,0.608,0.649,-8.843
"2Baba","irish pop",0.7263333333333334,0.602,0.7306666666666667,-4.1066666666666665
"2Baba",NULL,0.7263333333333334,0.602,0.7306666666666667,-4.1066666666666665
"2Pac","pop lgbtq+ brasileira",0.606,0.615,0.688,-4.738
"2Pac","pop rap",0.402,0.7,0.499,-9.93
"2Pac","vapor pop",0.513,0.901,0.628,-10.029
"2Pac",NULL,0.507,0.7386666666666667,0.605,-8.232333333333333
"31 Minutos","swiss pop",0.547,0.512,0.394,-6.994
"31 Minutos",NULL,0.547,0.512,0.394,-6.994
"42 Dugg","turkish trap pop",0.699,0.785,0.552,-5.497
"42 Dugg",NULL,0.699,0.785,0.552,-5.497
"5 Seconds of Summer","pop",0.461,0.749,0.42,-2.961
"5 Seconds of Summer",NULL,0.461,0.749,0.42,-2.961
"6AM","dutch rap pop",0.897,0.706,0.626,-2.539
"6AM",NULL,0.897,0.706,0.626,-2.539
"6ix Toys","classic polish pop",0.967,0.782,0.902,-4.406
"6ix Toys",NULL,0.967,0.782,0.902,-4.406
"6LACK","k-pop",0.606,0.712,0.329,-4.262
"6LACK",NULL,0.606,0.712,0.329,-4.262
"988 DJs","bhutanese pop",0.836,0.691,0.8446666666666666,-3.861333333333333
"988 DJs",NULL,0.836,0.691,0.8446666666666666,-3.861333333333333
"9ice","irish pop",0.74,0.5625,0.8085,-5.667
"9ice",NULL,0.74,0.5625,0.8085,-5.667
"9m88","classic arab pop",0.424,0.6655,0.4,-11.199
"9m88",NULL,0.424,0.6655,0.4,-11.199
"a-ha","canadian pop",0.902,0.573,0.876,-7.638
"a-ha",NULL,0.902,0.573,0.876,-7.638
"A-Trak","latin arena pop",0.607,0.738,0.779,-3.933
"A-Trak",NULL,0.607,0.738,0.779,-3.933
"A Boogie Wit da Hoodie","pop edm",0.711,0.584,0.338,-4.648
"A Boogie Wit da Hoodie",NULL,0.711,0.584,0.338,-4.648
"A Great Big World","pop rock",0.147,0.407,0.0765,-8.822
"A Great Big World",NULL,0.147,0.407,0.0765,-8.822
"A Place To Bury Strangers","dream pop",0.848,0.292,0.166,-2.841
"A Place To Bury Strangers",NULL,0.848,0.292,0.166,-2.841
"A Year on Earth","alternative pop",0.194,0.349,0.123,-12.829
"A Year on Earth",NULL,0.194,0.349,0.123,-12.829
"A$AP Ferg","stomp pop",0.663,0.704,0.35,-8.154
"A$AP Ferg","vapor pop",0.642,0.77,0.366,-4.715
"A$AP Ferg",NULL,0.6525000000000001,0.737,0.358,-6.4345
"A*S*Y*S","classic city pop",0.859,0.652,0.0348,-7.757
"A*S*Y*S",NULL,0.859,0.652,0.0348,-7.757
"A.CHAL","japanese teen pop",0.472,0.734,0.387,-8.192
"A.CHAL",NULL,0.472,0.734,0.387,-8.192
"A.R. Rahman","classic icelandic pop",0.578,0.829,0.713,-12.636
"A.R. Rahman",NULL,0.578,0.829,0.713,-12.636
"AAA","j-pop",0.857,0.631,0.498,-4.7
"AAA",NULL,0.857,0.631,0.498,-4.7
"Aapo Häkkinen","israeli pop",0.215,0.516,0.448,-15.399
"Aapo Häkkinen",NULL,0.215,0.516,0.448,-15.399
"Aardee & Chani Nattan","czech pop",0.602,0.718,0.364,-6.616
"Aardee & Chani Nattan",NULL,0.602,0.718,0.364,-6.616
"Aaron Copland","bangla pop",0.1351,0.2918,0.13105,-20.8735
"Aaron Copland","country pop",0.102,0.207,0.303,-17.365
"Aaron Copland","inuit pop",0.229,0.4185,0.391,-16.617
"Aaron Copland",NULL,0.16604000000000002,0.32552,0.26941999999999994,-18.4692
"Aaron Goldberg","musica popular amazonense",0.4705,0.423,0.485,-14.543
"Aaron Goldberg",NULL,0.4705,0.423,0.485,-14.543
"Aaron Lee Tasjan","australian pop",0.67,0.638,0.859,-6.413
"Aaron Lee Tasjan",NULL,0.67,0.638,0.859,-6.413
"Abdelwahab Hanachi","gabonese pop",0.739,0.533,0.747,-7.252
"Abdelwahab Hanachi",NULL,0.739,0.533,0.747,-7.252
"Abdul Majeed Abdullah","classic belgian pop",0.814,0.411,0.697,-3.475
"Abdul Majeed Abdullah",NULL,0.814,0.411,0.697,-3.475
"Abdulaziz Louis","classic belgian pop",0.64,0.796,0.818,-7.718
"Abdulaziz Louis",NULL,0.64,0.796,0.818,-7.718
"Abdullah Al Hameem","classic belgian pop",0.787,0.787,0.895,-4.113
"Abdullah Al Hameem",NULL,0.787,0.787,0.895,-4.113
"Abel Pintos","gauze pop",0.6205,0.6045,0.404,-5.549
"Abel Pintos","k-pop girl group",0.614,0.438,0.346,-8.786
"Abel Pintos",NULL,0.6183333333333333,0.549,0.38466666666666666,-6.628
"Abhay Deol","spanish pop",0.681,0.701,0.81,-6.442
"Abhay Deol",NULL,0.681,0.701,0.81,-6.442
"Above Atlas","alternative pop",0.497,0.426,0.597,-9.031
"Above Atlas",NULL,0.497,0.426,0.597,-9.031
"Abstrakt Sonance","russian pop punk",0.6970000000000001,0.6595,0.19,-7.872999999999999
"Abstrakt Sonance",NULL,0.6970000000000001,0.6595,0.19,-7.872999999999999
"Abu Baker Salim","classic belgian pop",0.657,0.675,0.763,-9.951
"Abu Baker Salim",NULL,0.657,0.675,0.763,-9.951
"AC Slater","pop house",0.643,0.883,0.202,-3.819
"AC Slater",NULL,0.643,0.883,0.202,-3.819
"Academie","moroccan pop",0.737,0.691,0.758,-7.512
"Academie",NULL,0.737,0.691,0.758,-7.512
"Academy of Ancient Music","bangla pop",0.08145,0.1975,0.21265,-24.057499999999997
"Academy of Ancient Music",NULL,0.08145,0.1975,0.21265,-24.057499999999997
"Ace of Base","pop urbaine",0.625,0.798,0.858,-9.689
"Ace of Base",NULL,0.625,0.798,0.858,-9.689
"Ace Ventura","icelandic pop",0.906,0.736,0.0431,-8.894
"Ace Ventura",NULL,0.906,0.736,0.0431,-8.894
"Action Bronson","swamp pop",0.7569999999999999,0.4865,0.48750000000000004,-6.712
"Action Bronson",NULL,0.7569999999999999,0.4865,0.48750000000000004,-6.712
"ADAAM","socal pop punk",0.793,0.967,0.811,-6.235
"ADAAM",NULL,0.793,0.967,0.811,-6.235
"ADAM at","bulgarian pop",0.268,0.736,0.607,-14.98
"ADAM at",NULL,0.268,0.736,0.607,-14.98
"Ádám Fischer","israeli pop",0.0765,0.363,0.178,-21.841
"Ádám Fischer",NULL,0.0765,0.363,0.178,-21.841
"Adam Lambert","post-teen pop",0.672,0.438,0.457,-4.706
"Adam Lambert",NULL,0.672,0.438,0.457,-4.706
"Adam Pascal","social media pop",0.508,0.808,0.82,-6.429
"Adam Pascal",NULL,0.508,0.808,0.82,-6.429
"Adam Tas","pop catracho",0.703,0.679,0.904,-6.899
"Adam Tas",NULL,0.703,0.679,0.904,-6.899
"Adam Tell","c-pop",0.872,0.779,0.531,-5.074
"Adam Tell",NULL,0.872,0.779,0.531,-5.074
"Add-2","swamp pop",0.859,0.435,0.511,-7.791
"Add-2",NULL,0.859,0.435,0.511,-7.791
"Adel","socal pop punk",0.662,0.839,0.739,-8.887
"Adel",NULL,0.662,0.839,0.739,-8.887
"Adel Ebrahim And Mohamed Al Shehhi","classic belgian pop",0.59,0.756,0.872,-5.818
"Adel Ebrahim And Mohamed Al Shehhi",NULL,0.59,0.756,0.872,-5.818
"Adel Tawil","new wave pop",0.859,0.734,0.358,-5.739
"Adel Tawil",NULL,0.859,0.734,0.358,-5.739
"Adele","uk pop",0.319,0.556,0.294,-8.251
"Adele",NULL,0.319,0.556,0.294,-8.251
"Aden","socal pop punk",0.586,0.749,0.559,-10.44
"Aden",NULL,0.586,0.749,0.559,-10.44
"Aden Ray","russian alt pop",0.497,0.339,0.211,-6.122
"Aden Ray",NULL,0.497,0.339,0.211,-6.122
"Aditus","croatian pop",0.898,0.578,0.618,-6.748
"Aditus",NULL,0.898,0.578,0.618,-6.748
"Adlib Swayze","malaysian pop",0.4195,0.7335,0.45949999999999996,-7.9155
"Adlib Swayze",NULL,0.4195,0.7335,0.45949999999999996,-7.9155
"Admiral T","art pop",0.783,0.591,0.739,-3.113
"Admiral T",NULL,0.783,0.591,0.739,-3.113
"Adoo","assamese pop",0.896,0.503,0.663,-6.567
"Adoo","socal pop punk",0.828,0.777,0.931,-5.715
"Adoo",NULL,0.862,0.64,0.797,-6.141
"Adrian Chandler","country pop",0.247,0.4,0.394,-18.249
"Adrian Chandler",NULL,0.247,0.4,0.394,-18.249
"Adrian Leaper","classic nepali pop",0.109,0.0968,0.222,-20.699
"Adrian Leaper",NULL,0.109,0.0968,0.222,-20.699
